bfs,57,56,242,96.41434262948208,1.8022606000013184
dfs,99,98,162,64.5418326693227,1.2909068999942974
ucs,57,56,242,96.41434262948208,1.6994793000048958
greedyheuristic_1,42,100000000,42,16.733067729083665,0.32519249999313615
greedyheuristic_2,42,100000000,42,16.733067729083665,0.39061319999746047
greedyheuristic_4,42,100000000,42,16.733067729083665,0.4374781000005896
astarheuristic_1,57,56,158,62.94820717131474,1.2707281000039075
astarheuristic_2,61,60,148,58.964143426294825,1.2126807000022382
astarheuristic_4,59,58,143,56.97211155378486,1.163630099996226
bfs,57,56,242,96.41434262948208,1.7560273999988567
dfs,99,98,162,64.5418326693227,0.8410790999987512
ucs,57,56,242,96.41434262948208,1.5253398999993806
greedyheuristic_1,42,100000000,42,16.733067729083665,0.31249250000109896
greedyheuristic_2,42,100000000,42,16.733067729083665,0.29253910000261385
greedyheuristic_4,42,100000000,42,16.733067729083665,0.2965630000035162
astarheuristic_1,57,56,158,62.94820717131474,1.0265442000018083
astarheuristic_2,61,60,148,58.964143426294825,0.963201399994432
astarheuristic_4,59,58,143,56.97211155378486,0.9645006999999168
